size,allowed_shape,forbidden_shape,forbidden_size,cell_count_pop1,cell_count_pop2,cell_radius,cell_interaction_radius,distribution,dist_params_pop1,dist_params_pop2,pixels_no_interaction,pixels_pop1_only,pixels_pop2_only,pixels_both_populations,total_pixels,varied_parameter,repeat
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2413,1028,885,5673,9999,forbidden_shape,3
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2141,932,879,6047,9999,forbidden_shape,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2425,972,537,6066,10000,forbidden_size,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1723,975,865,6437,10000,forbidden_size,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2147,724,1115,6014,10000,forbidden_size,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2040,819,809,6332,10000,forbidden_size,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2476,626,1053,5845,10000,forbidden_size,4
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2402,832,746,6020,10000,forbidden_size,0
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2350,1065,619,5966,10000,forbidden_size,1
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1896,727,724,6653,10000,forbidden_size,2
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2046,769,663,6522,10000,forbidden_size,3
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2364,1065,797,5774,10000,forbidden_size,4
100,square,none,0.2,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2212,654,875,6259,10000,forbidden_size,0
100,square,none,0.2,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2793,920,967,5320,10000,forbidden_size,1
100,square,none,0.2,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2965,1061,626,5348,10000,forbidden_size,2
100,square,none,0.2,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2148,1149,696,6007,10000,forbidden_size,3
100,square,none,0.2,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2153,1025,699,6123,10000,forbidden_size,4
100,square,none,0.3,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3300,972,702,5026,10000,forbidden_size,0
100,square,none,0.3,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2372,1147,572,5909,10000,forbidden_size,1
100,square,none,0.3,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2161,925,659,6255,10000,forbidden_size,2
100,square,none,0.3,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2375,684,831,6110,10000,forbidden_size,3
100,square,none,0.3,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3000,602,745,5653,10000,forbidden_size,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1773,712,804,6711,10000,cell_counts,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2152,905,851,6092,10000,cell_counts,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2537,625,828,6010,10000,cell_counts,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2366,735,1036,5863,10000,cell_counts,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2540,424,1137,5899,10000,cell_counts,4
100,square,none,0.0,300,700,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2183,445,1638,5734,10000,cell_counts,0
100,square,none,0.0,300,700,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2569,365,1661,5405,10000,cell_counts,1
100,square,none,0.0,300,700,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2808,451,1432,5309,10000,cell_counts,2
100,square,none,0.0,300,700,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2133,460,1501,5906,10000,cell_counts,3
100,square,none,0.0,300,700,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1660,356,1618,6366,10000,cell_counts,4
100,square,none,0.0,700,300,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2141,2136,209,5514,10000,cell_counts,0
100,square,none,0.0,700,300,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2573,1417,631,5379,10000,cell_counts,1
100,square,none,0.0,700,300,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1998,1386,629,5987,10000,cell_counts,2
100,square,none,0.0,700,300,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2463,1727,333,5477,10000,cell_counts,3
100,square,none,0.0,700,300,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2344,1714,185,5757,10000,cell_counts,4
100,square,none,0.0,500,500,0.0,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4548,576,1091,3785,10000,cell_radius,0
100,square,none,0.0,500,500,0.0,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4809,878,500,3813,10000,cell_radius,1
100,square,none,0.0,500,500,0.0,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4397,601,1043,3959,10000,cell_radius,2
100,square,none,0.0,500,500,0.0,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4971,597,737,3695,10000,cell_radius,3
100,square,none,0.0,500,500,0.0,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4515,838,783,3864,10000,cell_radius,4
100,square,none,0.0,500,500,0.005,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3437,668,898,4997,10000,cell_radius,0
100,square,none,0.0,500,500,0.005,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3412,857,864,4867,10000,cell_radius,1
100,square,none,0.0,500,500,0.005,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",4003,707,706,4584,10000,cell_radius,2
100,square,none,0.0,500,500,0.005,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3549,776,694,4981,10000,cell_radius,3
100,square,none,0.0,500,500,0.005,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3439,469,1151,4941,10000,cell_radius,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2637,830,1017,5516,10000,cell_radius,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2439,678,963,5920,10000,cell_radius,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2649,596,813,5942,10000,cell_radius,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2868,937,727,5468,10000,cell_radius,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2831,885,796,5488,10000,cell_radius,4
100,square,none,0.0,500,500,0.02,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2630,2037,1793,3540,10000,cell_radius,0
100,square,none,0.0,500,500,0.02,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3323,1418,1925,3334,10000,cell_radius,1
100,square,none,0.0,500,500,0.02,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2462,1946,1991,3601,10000,cell_radius,2
100,square,none,0.0,500,500,0.02,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2586,1858,2242,3314,10000,cell_radius,3
